44800;временная;130176;консультант по работе с зависимыми людьми;Gree Electric Appliances;92%
47200;стажер;33129;архитектор облачных вычислений;DCP Midstream;97%
48000;Полная занятость;21839;бизнес-аналитик данных;Balfour Beatty;99%
44800;контракт;131126;координатор цепочки поставок;Ameriprise Financial;95%
47200;неполный рабочий день;76529;разработчик мобильных приложений;Банковская группа;97%
48000;контракт;49446;директор по уходу за больными;MetLife;102%
52000;полный рабочий день;56862;ветеринар мелких животных;American Tower;111%
49600;контракт;33592;инженер-химик;Expedia Group;105%
49600;временная;90814;аналитик по исследованию рынка;Archer Daniels Midland;102%
45600;контракт;34509;менеджер по инфраструктуре;Steel Dynamics;96%
44800;Полная занятость;29841;QA Tester;Nestle India;93%
44000;Стажер;72707;Аналитик по логистике;Playtech;92%
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies;100%
51200;временная;57908;менеджер по контролю качества;Графическая упаковка;105%
52000;Неполный рабочий день;14167;Менеджер по работе с клиентами;Jubilant Foodworks;102%
50400;Временная;122077;Веб-разработчик;AGCO;103%
48800;временная;72890;разработчик баз данных;Diageo;100%
50400;Неполный рабочий день;51195;Юридический секретарь;Continental Resources;98%
44000;неполный рабочий день;118838;специалист по продажам медицинских услуг;Eversource Energy;90%
44800;полный рабочий день;118067;офисный координатор;Аэрофлот;95%
44000;контракт;35498;дизайнер взаимодействия;Avantor;93%
45600;стажер;76972;дизайнер взаимодействия;Здоровье;94%
44800;контракт;37063;представитель по внутренним продажам;BHEL;95%
47200;полный рабочий день;37773;испытатель автоматики;Marathon Oil;100%
48800;временный;40994;Дизайнер пользовательского интерфейса;Geely Automobile Holdings;102%
49600;Полная занятость;77933;менеджер по работе с клиентами;Williams;103%
48800;временная;84357;архитектор проектов;AES;100%
45600;частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries;97%
47200;неполный рабочий день;130927;тестировщик производительности;Burberry Group;97%
